domicilio_barrio,App BA 147,GCS Web
AGRONOMIA,18,23
ALMAGRO,42,76
BALVANERA,56,76
BARRACAS,31,56
BELGRANO,25,67
BOCA,12,19
BOEDO,32,50
CABALLITO,93,163
CHACARITA,28,25
COGHLAN,20,24
COLEGIALES,20,46
CONSTITUCION,12,38
FLORES,102,132
FLORESTA,31,55
LINIERS,59,60
MATADEROS,82,100
MONSERRAT,8,23
MONTE CASTRO,44,55
NUEVA POMPEYA,28,37
NUÑEZ,11,30
PALERMO,122,157
PARQUE AVELLANEDA,49,33
PARQUE CHACABUCO,49,109
PARQUE CHAS,23,51
PARQUE PATRICIOS,14,49
PATERNAL,10,28
PUERTO MADERO,3,3
RECOLETA,25,64
RETIRO,18,9
SAAVEDRA,43,50
SAN CRISTOBAL,18,58
SAN NICOLAS,12,28
SAN TELMO,9,9
VELEZ SARSFIELD,11,32
VERSALLES,16,15
VILLA CRESPO,46,78
VILLA DEL PARQUE,56,61
VILLA DEVOTO,83,83
VILLA GRAL. MITRE,22,50
VILLA LUGANO,40,53
VILLA LURO,15,45
VILLA ORTUZAR,10,30
VILLA PUEYRREDON,81,88
VILLA REAL,20,19
VILLA RIACHUELO,14,27
VILLA SANTA RITA,40,53
VILLA SOLDATI,8,16
VILLA URQUIZA,126,131
Suma total,1737,2584
